# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
fa feng 	发疯	c=2 d=2.49733e-11 t=58
fa ge 	发个	c=4 d=2.36477e-08 t=58
fa ge yu ou 	发个渔鸥	c=1 d=5.33499e-21 t=58
fa gei 	发给	c=3 d=6.05048e-31 t=58
fa gei ni 	发给你	c=2 d=0.0710054 t=58
fa gei wo 	发给我	c=2 d=1.89842e-12 t=58
fa gong zi 	发工资	c=2 d=0.00775048 t=58
fa guo lai 	发过来	c=1 d=5.91738e-34 t=58
fa hui 	发挥	c=4 d=1.85571e-09 t=58
fa huo 	发货	c=1 d=2.59726e-23 t=58
fa jia 	发夹	c=1 d=3.21805e-15 t=58
fa jia zhi fu 	发家致富	c=9 d=0.00313659 t=58
fa jue 	发掘	c=1 d=7.15901e-69 t=58
fa lai 	发来	c=4 d=0.0146352 t=58
fa le 	发了	c=8 d=0.000558643 t=58
fa le ge 	发了个	c=1 d=1.39504e-05 t=58
fa liang tiao 	发两跳	c=1 d=7.79066e-05 t=58
fa lv 	法律	c=4 d=3.36634e-05 t=58
fa man 	发慢	c=3 d=8.53305e-17 t=58
fa nan 	发难	c=3 d=3.32986e-22 t=58
fa ni 	发你	c=2 d=2.08903e-20 t=58
fa ni de 	发你的	c=1 d=4.7375e-06 t=58
fa ni le 	发你了	c=1 d=2.10637e-29 t=58
fa piao 	发票	c=6 d=0.000239969 t=58
fa qi 	发起	c=2 d=3.80388e-12 t=58
fa qian 	发钱	c=1 d=9.34777e-31 t=58
fa qu 	发去	c=1 d=1.52643e-05 t=58
fa qu de 	发去的	c=1 d=1.32039e-05 t=58
fa qun li 	发群里	c=1 d=0.00848038 t=58
fa sao 	发骚	c=1 d=6.65934e-12 t=58
fa shao 	发烧	c=5 d=3.87004e-09 t=58
fa sheng 	发生	c=34 d=1.33239 t=58
fa sheng le 	发生了	c=5 d=0.00032718 t=58
fa sheng lu 	发生炉	c=1 d=1.78568e-27 t=58
fa sheng ne ge 	发生呢个	c=1 d=2.93898e-36 t=58
fa shi dao fang 	法师道昉	c=1 d=1.65755e-05 t=58
fa shi dao fang shang dao 	法师道昉商道	c=1 d=0.000166586 t=58
fa shi fa shang 	法师法上	c=0 d=0.176946 t=58
fa shi fa shang da fang da shuai fan she de 	法师法上大放大率反射的	c=1 d=0.895834 t=58
fa shi fa shang dian feng shi dai 	法师法上巅峰时代	c=2 d=1.78282 t=58
fa song 	发送	c=32 d=0.992209 t=58
fa song dao 	发送到	c=2 d=3.54298e-30 t=58
fa song le 	发送了	c=1 d=1.16219e-33 t=58
fa song zhe 	发送者	c=1 d=1.6606e-55 t=58
fa tian 	法天	c=0 d=0.0289384 t=58
fa tiao 	发条	c=1 d=2.35796e-32 t=58
fa tie 	发帖	c=1 d=1.92678e-10 t=58
fa wan 	发完	c=2 d=1.46579e-14 t=58
fa wan tu po 	发完突破	c=1 d=1.21676e-14 t=58
fa wo 	发我	c=11 d=0.0147723 t=58
fa wo 	法我	c=1 d=4.78512e-06 t=58
fa wo de 	发我的	c=4 d=1.08402e-08 t=58
fa wo yi fen ne 	发我一份呢	c=1 d=3.15627e-81 t=58
fa wo yi shou 	发我一手	c=1 d=2.43886e-18 t=58
fa wo yi xia 	发我一下	c=1 d=2.84873e-22 t=58
fa wo yi xia ne 	发我一下呢	c=1 d=3.42997e-30 t=58
fa xia 	罚下	c=3 d=0.0652193 t=58
fa xian 	发现	c=92 d=0.925969 t=58
fa xian bu liao 	发现不了	c=1 d=3.2525e-52 t=58
fa xian dao 	发现到	c=1 d=0.00511796 t=58
fa xian de 	发现的	c=2 d=1.52824e-19 t=58
fa xian le 	发现了	c=9 d=0.108311 t=58
fa xian shi 	法线式	c=1 d=0.000382034 t=58
fa xian tong dian 	发现痛点	c=1 d=1.66212e-07 t=58
fa xian wen ti 	发现问题	c=1 d=0.242926 t=58
fa xiao xi 	发消息	c=6 d=0.231078 t=58
fa xie 	法鞋	c=1 d=0.744532 t=58
fa xin 	发心	c=0 d=2.51057e-07 t=58
fa xin a le 	发心阿乐	c=1 d=2.52316e-06 t=58
fa xing 	发型	c=1 d=1.2098e-07 t=58
fa yi ci 	发一次	c=1 d=4.25197e-28 t=58
fa yi ge 	发一个	c=1 d=1.4437e-26 t=58
fa yi xia 	发一下	c=2 d=6.31499e-05 t=58
fa yi xia ne 	发一下呢	c=1 d=7.50304e-33 t=58
fa yin 	发音	c=1 d=6.11773e-14 t=58
fa yu 	法语	c=1 d=5.38861e-21 t=58
fa yu 	法遇	c=1 d=5.30838e-21 t=58
fa zhan 	发展	c=15 d=0.000158461 t=58
fa zhan qian jing 	发展前景	c=1 d=7.52374e-36 t=58
fa zhe ge 	发这个	c=2 d=0.00136037 t=58
fa zhe ge 	法这个	c=3 d=6.54104e-07 t=58
fa zi 	法子	c=4 d=0.0166557 t=58
fan 	反	c=6 d=9.07797e-10 t=58
fan 	泛	c=2 d=4.0628e-22 t=58
fan 	番	c=1 d=1.20465e-14 t=58
fan 	范	c=1 d=0.289384 t=58
fan 	饭	c=10 d=0.013466 t=58
fan bei 	翻倍	c=1 d=0.0190631 t=58
fan cha 	反差	c=1 d=0.00406639 t=58
fan cha 	反查	c=1 d=0.00412784 t=58
fan cha 	梵刹	c=1 d=0.00404611 t=58
fan de 	烦得	c=0 d=2.92323e-62 t=58
fan de yi pi 	烦得一批	c=1 d=2.93789e-61 t=58
fan dian 	反点	c=1 d=9.4842e-25 t=58
fan dian 	饭店	c=2 d=1.91593e-24 t=58
fan du 	贩毒	c=1 d=0.606531 t=58
fan duo 	繁多	c=1 d=7.6956e-37 t=58
fan er 	反而	c=8 d=4.07761e-06 t=58
fan er duo le 	反而多了	c=1 d=2.48559e-06 t=58
fan fang 	反方	c=0 d=4.5769e-13 t=58
fan fang xiang 	反方向	c=1 d=4.59984e-12 t=58
fan fu 	反复	c=4 d=8.20404e-25 t=58
fan fu heng tiao 	反复横条	c=2 d=7.52911e-15 t=58
fan hua 	泛化	c=19 d=1.28177 t=58
fan hua diao yong 	泛化调用	c=1 d=0.882497 t=58
fan hui 	返回	c=260 d=1.64918 t=58
fan hui a 	返回啊	c=1 d=9.5841e-60 t=58
fan hui de 	返回的	c=21 d=0.0816307 t=58
fan hui de shu ju 	返回的数据	c=1 d=7.19781e-15 t=58
fan hui ge 	返回个	c=1 d=1.21655e-12 t=58
fan hui gei 	返回给	c=1 d=8.26229e-20 t=58
fan hui le 	返回了	c=9 d=0.331211 t=58
fan hui qian 	返回前	c=1 d=3.20146e-13 t=58
fan hui qu 	返回去	c=1 d=3.42742e-80 t=58
fan hui shi 	返回时	c=2 d=1.66813e-20 t=58
fan hui shi bai 	返回失败	c=1 d=0.386741 t=58
fan hui shu ju 	返回数据	c=2 d=0.00216573 t=58
fan hui yi xia 	返回一下	c=1 d=1.82355e-68 t=58
fan hui zhi 	返回值	c=17 d=0.460704 t=58
fan kui 	反馈	c=41 d=1.41264 t=58
fan kui qun li 	反馈群里	c=1 d=1.37474e-09 t=58
fan le 	反了	c=2 d=0.000790705 t=58
fan le 	犯了	c=1 d=0.0731678 t=58
fan pai 	反派	c=1 d=1.04e-79 t=58
fan qian 	饭前	c=1 d=4.39206e-27 t=58
fan qiang 	翻墙	c=1 d=0.600496 t=58
fan qie 	番茄	c=6 d=3.32407e-14 t=58
fan ren 	烦人	c=1 d=1.01702e-22 t=58
fan ren 	犯人	c=1 d=1.01194e-22 t=58
fan she 	反射	c=8 d=9.67958e-22 t=58
fan she de 	反射的	c=0 d=0.0891366 t=58
fan shi 	反式	c=4 d=0.631284 t=58
fan shi 	范式	c=2 d=6.30634e-07 t=58
fan shou 	反手	c=1 d=3.03901e-18 t=58
fan si 	反思	c=2 d=4.05934e-12 t=58
fan suo 	繁琐	c=5 d=0.273898 t=58
fan wei 	范围	c=35 d=0.0672055 t=58
fan wei nei 	范围内	c=1 d=2.83114e-08 t=58
fan wen 	反问	c=1 d=3.65535e-14 t=58
fan wo 	烦我	c=1 d=1.03756e-22 t=58
fan xian 	反先	c=1 d=3.56267e-06 t=58
fan xiang 	反向	c=6 d=0.0505395 t=58
fan xin 	烦心	c=1 d=1.36621e-24 t=58
fan xu 	樊须	c=0 d=3.11329e-09 t=58
fan xu li eh 	饭许力诶	c=1 d=0.135335 t=58
fan xu li hua 	樊须李华	c=1 d=3.1289e-08 t=58
fan xu lie 	反序列	c=8 d=4.48398e-06 t=58
fan xu lie hua 	反序列化	c=22 d=0.136014 t=58
fan ye 	翻页	c=1 d=0.000197455 t=58
fan yi 	反义	c=2 d=7.83371e-11 t=58
fan yi 	翻译	c=176 d=1.44741 t=58
fan yi cheng 	翻译成	c=9 d=0.0739031 t=58
fan yi wei 	翻译为	c=1 d=0.106459 t=58
fan yi xiao di 	翻译小弟	c=10 d=0.000112226 t=58
fan yi yi xia 	翻译一下	c=2 d=1.55376e-09 t=58
fan yi yi xia a 	翻译一下啊	c=1 d=1.56155e-08 t=58
fan ying 	反应	c=11 d=2.31731e-05 t=58
fan ying 	反映	c=1 d=7.0673e-35 t=58
fan ying chu 	反映出	c=1 d=1.47412e-36 t=58
fan zao 	烦躁	c=0 d=8.27381e-08 t=58
fan zhang 	反掌	c=1 d=2.76877e-40 t=58
fan zhe 	泛着	c=3 d=9.03279e-10 t=58
fan zhen 	反震	c=1 d=5.98722e-25 t=58
fan zheng 	反正	c=63 d=2.20346 t=58
fan zheng bu shi 	反正不是	c=1 d=6.01723e-25 t=58
fan zheng shi 	反正是	c=1 d=8.52724e-09 t=58
fan zhi 	反制	c=1 d=0.00302755 t=58
fan zhou 	范周	c=1 d=2.67909e-35 t=58
fan zhuan 	反转	c=4 d=4.74073e-14 t=58
fan zhuan 	翻转	c=1 d=4.56712e-75 t=58
fan zui 	犯罪	c=11 d=5.41681e-17 t=58
fang 	房	c=7 d=0.0365162 t=58
fang 	放	c=13 d=0.138761 t=58
fang 	方	c=30 d=1.82458 t=58
fang 	芳	c=1 d=5.07221e-15 t=58
fang an 	方案	c=278 d=5.74121 t=58
fang an er 	方案二	c=5 d=3.86036e-16 t=58
fang an er 	方案而	c=1 d=7.77716e-14 t=58
fang an le 	方案了	c=1 d=2.13196e-24 t=58
fang an li 	方案里	c=1 d=1.72931e-32 t=58
fang an she ji 	方案设计	c=1 d=0.185444 t=58
fang an shi 	方案时	c=3 d=1.21787 t=58
fang an yi 	方案一	c=4 d=8.87524e-09 t=58
fang bian 	方便	c=18 d=0.0816756 t=58
fang bian ce shi 	方便测试	c=1 d=1.05759e-41 t=58
fang bian le 	方便了	c=1 d=0.0523397 t=58
fang chan 	房产	c=1 d=2.57755e-51 t=58
fang cheng 	方城	c=1 d=9.39143e-27 t=58
fang cheng 	方程	c=4 d=1.52694e-09 t=58
fang da 	放大	c=22 d=0.559262 t=58
fang da 	方大	c=11 d=3.32824 t=58
fang da fen san fa 	方大分散法	c=1 d=0.878095 t=58
fang da ji 	放大级	c=0 d=2.55982e-59 t=58
fang da ji a sa ke luo fu jiang da se kong jie kou li dao sheng fa 	放大级啊萨克洛夫奖大色空接口里道生法	c=1 d=2.57265e-58 t=58
fang da shen 	方大深	c=0 d=1.7564e-10 t=58
fang dao 	放到	c=22 d=0.180866 t=58
fang dao le 	放到了	c=1 d=5.37287e-16 t=58
fang di chan 	房地产	c=1 d=1.14985e-25 t=58
fang dong 	房东	c=2 d=4.38533e-09 t=58
fang fa 	方法	c=80 d=1.36424 t=58
fang fa shi 	方法时	c=1 d=2.62604e-35 t=58
fang fang 	芳芳	c=47 d=0.557106 t=58
fang fang da jie 	芳芳大姐	c=1 d=0.00516939 t=58
fang fang jie jie 	芳芳姐姐	c=29 d=0.694197 t=58
fang gan 	方干	c=1 d=3.70921e-39 t=58
fang ge 	放个	c=1 d=0.0704688 t=58
fang ge deng you 	放个灯油	c=1 d=0.70822 t=58
fang guo qu 	放过去	c=1 d=9.20987e-62 t=58
fang ha di si ou 	方哈底斯偶	c=1 d=6.65573e-35 t=58
fang han 	方颔	c=1 d=7.30286e-09 t=58
fang huai si 	方坏死	c=2 d=0.0182243 t=58
fang hui 	方会	c=2 d=0.000170362 t=58
fang hui zou 	方会走	c=3 d=0.00171216 t=58
fang jia 	房价	c=2 d=0.13003 t=58
fang jia 	放假	c=13 d=1.42347e-07 t=58
fang jia ai 	放假爱	c=1 d=7.39786e-14 t=58
fang jia qian 	放假前	c=2 d=2.15676e-13 t=58
fang jian 	方渐	c=1 d=4.66603e-33 t=58
fang jin 	放进	c=2 d=0.0683861 t=58
fang jin lai 	放进来	c=0 d=3.41937e-24 t=58
fang jin lai le 	放进来了	c=1 d=3.43651e-23 t=58
fang kai 	放开	c=4 d=0.0122161 t=58
fang kai dao 	方开道	c=1 d=6.91182e-38 t=58
fang kai le 	放开了	c=1 d=6.64328e-13 t=58
fang kuai liao 	方块料	c=0 d=1.67421e-05 t=58
fang kuang 	方框	c=1 d=4.09304e-21 t=58
fang kui 	方夔	c=1 d=0.000185956 t=58
fang le 	放了	c=4 d=0.000113922 t=58
fang liang 	放量	c=17 d=0.0102037 t=58
fang mian 	方面	c=13 d=0.484504 t=58
fang mu tou 	方木头	c=1 d=9.98607e-14 t=58
fang na 	放那	c=1 d=2.77981e-28 t=58
fang na 	访拿	c=1 d=1.70861e-08 t=58
fang pi 	放屁	c=1 d=1.15919e-32 t=58
fang qi 	放弃	c=2 d=1.27497e-05 t=58
fang qi le 	放弃了	c=1 d=1.3085e-75 t=58
fang ru 	放入	c=3 d=1.74386e-20 t=58
fang shai shuang 	防晒霜	c=2 d=4.66124e-13 t=58
fang sheng 	放生	c=1 d=0.0164078 t=58
fang sheng le 	放生了	c=1 d=6.92736e-35 t=58
fang shi 	方式	c=175 d=0.961271 t=58
fang shi fang fa 	方式方法	c=1 d=1.11704e-08 t=58
fang shi fen san fa 	方式分散法	c=1 d=0.891366 t=58
fang shou 	方寿	c=2 d=1.05868e-20 t=58
fang shou ai 	放手爱	c=0 d=2.54705e-59 t=58
fang shou ai jue dui ke lian fu jia da shi kan lai jie kou li 	放手爱绝对可怜富家大室看来接口里	c=1 d=2.55982e-58 t=58
fang shui 	放水	c=0 d=0.0421052 t=58
fang song 	方嵩	c=1 d=1.03347e-05 t=58
fang suo 	放缩	c=0 d=0.000198925 t=58
fang tan 	访谈	c=2 d=1.41661e-09 t=58
fang tiao 	防跳	c=0 d=1.06177e-59 t=58
fang tiao chu 	防跳出	c=1 d=1.06709e-58 t=58
fang wan jia 	放玩家	c=1 d=7.15315e-30 t=58
fang wei 	方位	c=1 d=0.000488095 t=58
fang wen 	访问	c=19 d=0.0724398 t=58
fang xiang 	方向	c=19 d=0.0930582 t=58
fang xiang jian 	方向键	c=1 d=1.39357e-22 t=58
fang xin 	放心	c=2 d=0.000246044 t=58
fang xin 	方新	c=1 d=0.000244817 t=58
fang xing 	房型	c=1 d=1.79524e-31 t=58
fang yi xie 	放一些	c=1 d=1.07767e-27 t=58
fang yu 	防御	c=1 d=1.24973e-05 t=58
fang zai 	放在	c=15 d=0.486752 t=58
fang zai le 	放在了	c=1 d=3.05113e-06 t=58
fang zhao 	仿照	c=8 d=3.28641e-07 t=58
fang zhe 	放着	c=3 d=0.0193679 t=58
fang zhe 	方哲	c=1 d=3.28809e-33 t=58
fang zhi 	防止	c=24 d=0.932394 t=58
fang zhou 	方舟	c=126 d=0.818739 t=58
fang zhou ce 	方舟侧	c=1 d=2.20452e-06 t=58
fang zi 	房子	c=6 d=0.0149956 t=58
fang zu 	房租	c=2 d=4.87415e-17 t=58
fei 	沸	c=0 d=3.05268e-13 t=58
fei 	肥	c=5 d=7.45648e-10 t=58
fei 	费	c=2 d=6.50841e-07 t=58
fei 	非	c=100 d=0.744532 t=58
fei 	飞	c=16 d=0.0980199 t=58
fei bai ming dan 	非白名单	c=3 d=3.97072e-17 t=58
fei bu 	肺部	c=3 d=6.68654e-18 t=58
fei chang 	非常	c=21 d=0.726149 t=58
fei chang hao 	非常好	c=1 d=2.33631e-42 t=58
fei chu 	废除	c=2 d=1.7608e-44 t=58
fei dan se fu she 	非单色辐射	c=1 d=0.000183913 t=58
fei dan se fu she de 	非单色辐射的	c=1 d=0.000165755 t=58
fei de 	飞的	c=1 d=4.79995e-13 t=58
fei hua 	废话	c=1 d=0.0584257 t=58
fei huang teng da 	飞黄腾达	c=1 d=2.28103e-25 t=58
fei ji 	飞机	c=3 d=0.000739157 t=58
fei ji su 	飞极速	c=1 d=0.985112 t=58
fei jin 	费劲	c=5 d=0.0124651 t=58
fei kai de 	非开的	c=1 d=6.266e-31 t=58
fei kong ge 	非空格	c=1 d=2.36678e-18 t=58
fei kuai 	飞快	c=1 d=1.66354e-17 t=58
fei lei 	匪类	c=3 d=1.51669e-18 t=58
fei lian 	飞廉	c=2 d=3.96316e-24 t=58
fei liao shou ji keng 	废料收集坑	c=0 d=2.81492e-59 t=58
fei liu 	非流	c=5 d=1.43826e-11 t=58
fei liu shi 	非流式	c=6 d=4.88677e-18 t=58
fei long 	飞龙	c=1 d=2.44351e-11 t=58
fei ma 	飞马	c=1 d=9.84546e-53 t=58
fei pan 	飞盘	c=3 d=0.0513697 t=58
fei pan de 	飞盘的	c=1 d=0.0241131 t=58
fei qi 	废弃	c=33 d=0.433309 t=58
fei qian 	费钱	c=1 d=3.31324e-05 t=58
fei sa fa shi a 	非撒发是啊	c=1 d=3.37008e-58 t=58
fei shang 	非上	c=2 d=1.24534e-08 t=58
fei shi 	非时	c=0 d=2.42505e-11 t=58
fei shou lun 	非首轮	c=29 d=0.996113 t=58
fei shu 	飞书	c=51 d=0.937067 t=58
fei su 	飞速	c=4 d=0.088692 t=58
fei tong xiao 	非同校	c=1 d=4.50094e-21 t=58
fei wo 	非我	c=6 d=2.63293e-07 t=58
fei wu 	废物	c=1 d=2.96297e-14 t=58
fei yang yang 	沸羊羊	c=1 d=3.06799e-12 t=58
fei yong 	费用	c=4 d=0.0575558 t=58
fei zheng chang 	非正常	c=1 d=4.29178e-20 t=58
fen 	份	c=2 d=6.77287e-05 t=58
fen 	分	c=48 d=0.461355 t=58
fen a 	分啊	c=1 d=2.46212e-12 t=58
fen bei 	分贝	c=1 d=2.24738e-56 t=58
fen ben 	粉本	c=1 d=1.03774e-24 t=58
fen bian lv 	分辨率	c=1 d=0.0277367 t=58
fen biao 	分俵	c=1 d=8.30202e-47 t=58
fen bie 	分别	c=27 d=0.831104 t=58
fen bie shi 	分别识	c=2 d=2.35947e-11 t=58
fen bie wei 	分别为	c=1 d=1.33711e-06 t=58
fen bu 	分布	c=2 d=1.85962e-24 t=58
fen bu 	分步	c=4 d=0.000927901 t=58
fen bu 	分部	c=2 d=1.63295e-24 t=58
fen bu jiang jie 	分布讲解	c=1 d=7.76501e-25 t=58
fen bu jie xi 	分步解吸	c=1 d=3.64083e-26 t=58
fen bu qing 	分不清	c=2 d=1.95085e-09 t=58
fen bu shi 	分布式	c=3 d=4.37476e-10 t=58
fen bu ti 	分步题	c=2 d=0.0188395 t=58
fen ceng 	分层	c=22 d=0.708893 t=58
fen chang jing 	分场景	c=1 d=1.23385e-31 t=58
fen cheng 	分成	c=3 d=0.161218 t=58
fen ci 	分词	c=19 d=0.00017956 t=58
fen dan 	分担	c=1 d=1.31832e-16 t=58
fen dao 	分到	c=4 d=8.13097e-08 t=58
fen de 	分的	c=1 d=1.512e-11 t=58
fen dou 	奋斗	c=0 d=2.53753e-15 t=58
fen dou zai 	奋斗在	c=1 d=2.55025e-14 t=58
fen er zhi zhi 	分而治之	c=1 d=2.95381e-07 t=58
fen fa 	分发	c=9 d=2.26927e-24 t=58
fen fa ce 	分发侧	c=11 d=5.98586e-14 t=58
fen fa ce 	分发测	c=2 d=2.38717e-29 t=58
fen fu 	吩咐	c=1 d=4.6974e-53 t=58
fen ge 	分割	c=1 d=2.16308e-18 t=58
fen ge 	分隔	c=5 d=2.89967e-17 t=58
fen ge fu 	分隔符	c=4 d=0.362402 t=58
fen gei 	分给	c=1 d=2.37622e-06 t=58
fen gong 	分工	c=2 d=3.48433e-09 t=58
fen jie 	分解	c=2 d=0.0149956 t=58
fen kai 	分开	c=7 d=0.687289 t=58
fen kai cheng 	分开成	c=1 d=2.74691e-35 t=58
fen kai de 	分开的	c=2 d=6.29741e-31 t=58
fen kai le 	分开了	c=1 d=6.07254e-15 t=58
fen ku 	分库	c=1 d=8.26062e-47 t=58
fen kuai 	分块	c=2 d=1.87436e-09 t=58
fen le 	分了	c=2 d=2.07537e-31 t=58
fen lei 	分类	c=123 d=1.54628e-10 t=58
fen lei de 	分类的	c=2 d=1.79276e-44 t=58
fen lei qi 	分类器	c=8 d=1.02091e-44 t=58
fen lei shi 	分类是	c=1 d=9.40453e-14 t=58
fen li 	分力	c=2 d=2.30937e-09 t=58
fen li 	分离	c=1 d=2.26657e-09 t=58
fen liu 	分流	c=28 d=0.00481415 t=58
fen liu de 	分流的	c=1 d=6.87501e-34 t=58
fen liu deng 	分流等	c=1 d=0.0483156 t=58
fen ming 	分命	c=1 d=6.91558e-15 t=58
fen ming 	分明	c=1 d=3.02231e-12 t=58
fen mu 	分母	c=5 d=3.26391e-05 t=58
fen pei 	分配	c=5 d=0.193013 t=58
fen pian 	分片	c=1 d=4.28653e-35 t=58
fen qi 	分期	c=3 d=2.21209 t=58
fen qi 	分歧	c=2 d=1.01826e-07 t=58
fen qu 	分区	c=4 d=3.91093e-15 t=58
fen ren 	分人	c=1 d=1.52928e-27 t=58
fen san 	分散	c=4 d=0.752014 t=58
fen san fa 	分散法	c=0 d=0.176063 t=58
fen shan 	坟山	c=1 d=0.748264 t=58
fen shu 	分书	c=1 d=4.73091e-19 t=58
fen shu 	分数	c=3 d=5.62112e-18 t=58
fen si 	粉丝	c=1 d=0.0223708 t=58
fen tai gao 	分太高	c=1 d=2.41041e-27 t=58
fen wei 	分为	c=11 d=0.861455 t=58
fen wei 	氛围	c=2 d=9.5285e-21 t=58
fen wei le 	分为了	c=1 d=0.0944202 t=58
fen xi 	分析	c=86 d=1.01348 t=58
fen xi ge 	分析个	c=1 d=2.81693e-37 t=58
fen xi shi 	分析师	c=1 d=8.85025e-64 t=58
fen xi yi xia 	分析一下	c=2 d=0.117655 t=58
fen xi you hua 	分析优化	c=2 d=1.31864e-09 t=58
fen xiang 	分享	c=43 d=1 t=58
fen xiang le 	分享了	c=1 d=2.1311e-78 t=58
fen ye 	分页	c=2 d=0.177284 t=58
fen yong 	奋勇	c=1 d=3.57615e-21 t=58
fen zhi 	分值	c=15 d=0.0259911 t=58
fen zhi 	分支	c=54 d=0.603506 t=58
fen zhi shang 	分支上	c=1 d=9.74283e-18 t=58
fen zhong 	分钟	c=9 d=0.0308074 t=58
fen zi 	份子	c=2 d=1.1245e-33 t=58
fen zi 	分子	c=1 d=6.55218e-27 t=58
fen zi qian 	份子钱	c=1 d=6.90947e-34 t=58
fen zu 	分组	c=11 d=2.19353e-06 t=58
feng 	封	c=7 d=0.218712 t=58
feng 	峰	c=2 d=5.25556e-21 t=58
feng 	风	c=1 d=2.33226e-51 t=58
feng ban 	封板	c=1 d=7.09065e-15 t=58
feng bao 	风暴	c=3 d=0.0023461 t=58
feng dong fan dong 	风动旛动	c=2 d=1.76312 t=58
feng dong fan dong fa 	风动旛动发	c=1 d=0.847861 t=58
feng dong fan dong fa de 	风动旛动发的	c=2 d=0.810584 t=58
feng dong fan dong feng dong fan dong fang da 	风动旛动风动旛动方大	c=1 d=0.843665 t=58
feng fu 	丰富	c=5 d=1.72133e-07 t=58
feng ge 	风格	c=8 d=0.809446 t=58
feng gu 	风骨	c=1 d=1.71274e-07 t=58
feng kong 	封控	c=2 d=3.25039e-15 t=58
feng kong 	风控	c=1 d=3.23418e-15 t=58
feng kuang 	疯狂	c=49 d=0.344728 t=58
feng kuang de shou ji 	疯狂的手机	c=0 d=1.67421e-05 t=58
feng li 	锋利	c=1 d=1.10973e-19 t=58
feng ling 	风铃	c=0 d=1.78817e-15 t=58
feng liu 	风流	c=2 d=9.39598e-14 t=58
feng lou 	封楼	c=1 d=0.241714 t=58
feng mao 	丰茂	c=2 d=6.88555e-52 t=58
feng mian 	封面	c=2 d=0.00275318 t=58
feng nan 	丰南	c=2 d=0.000237581 t=58
feng nan 	锋南	c=1 d=0.0167392 t=58
feng ping 	风评	c=1 d=5.1382e-20 t=58
feng qi 	风气	c=1 d=2.1279e-31 t=58
feng qing 	风情	c=1 d=2.11729e-31 t=58
feng shen 	封神	c=1 d=0.152638 t=58
feng shen 	风神	c=16 d=1.02636 t=58
feng shen eh 	封神诶	c=1 d=0.733447 t=58
feng sheng 	风声	c=1 d=0.965605 t=58
feng shou ren 	冯守人	c=1 d=3.04315e-34 t=58
feng shui 	风水	c=1 d=0.0043831 t=58
feng su 	风俗	c=1 d=6.31908e-42 t=58
feng xian 	风险	c=12 d=0.00163682 t=58
feng zhi 	峰值	c=5 d=0.0204855 t=58
feng zhuang 	封装	c=17 d=0.0973927 t=58
fo 	佛	c=1 d=1.36998e-27 t=58
fo le 	佛了	c=3 d=0.704688 t=58
fo ri 	佛日	c=1 d=4.97516e-23 t=58
fo ye 	佛爷	c=2 d=0.000135137 t=58
fou 	否	c=2 d=3.42706e-20 t=58
fou ze 	否则	c=9 d=0.00822975 t=58
fou zhe 	否者	c=1 d=6.50841e-07 t=58
fu 	副	c=0 d=0.0715338 t=58
fu 	夫	c=2 d=2.85173e-05 t=58
fu 	府	c=1 d=6.54305e-40 t=58
fu 	父	c=0 d=5.03645e-21 t=58
fu 	符	c=1 d=0.000190173 t=58
fu 	覆	c=1 d=2.20677e-18 t=58
fu ben 	副本	c=8 d=0.107617 t=58
fu ben shu mu 	副本数目	c=1 d=0.00349997 t=58
fu bu fu he 	符不符合	c=3 d=1.05726e-08 t=58
fu cha 	复查	c=1 d=1.33547e-21 t=58
fu che 	扶车	c=1 d=0.283654 t=58
fu chu 	付出	c=1 d=1.34148e-15 t=58
fu dan 	负担	c=1 d=0.806541 t=58
fu dian shu 	浮点数	c=5 d=0.0246002 t=58
fu dian shu fang da shen 	浮点数方大深	c=1 d=1.7652e-09 t=58
fu du 	复读	c=2 d=7.17556e-08 t=58
fu e 	副萼	c=1 d=3.96937e-13 t=58
fu fan 	复返	c=1 d=0.0385808 t=58
fu fei 	付费	c=4 d=7.2652e-07 t=58
fu gai 	覆盖	c=13 d=0.467666 t=58
fu gai le 	覆盖了	c=4 d=1.33044e-06 t=58
fu gai lv 	覆盖率	c=1 d=1.50836e-12 t=58
fu gai shu 	覆盖数	c=1 d=0.00304273 t=58
fu hao 	符号	c=4 d=0.0327124 t=58
fu he 	复合	c=1 d=6.26067e-21 t=58
fu he 	符合	c=36 d=0.29523 t=58
fu he yu qi 	符合预期	c=6 d=0.121238 t=58
fu jia 	附加	c=2 d=7.48901e-11 t=58
fu jia da shi 	富家大室	c=0 d=2.54705e-59 t=58
fu jian 	福建	c=4 d=0.000101546 t=58
fu jian sheng 	福建省	c=3 d=0.000416308 t=58
fu jie dian 	父节点	c=2 d=5.18859e-16 t=58
fu jin 	附近	c=10 d=0.421465 t=58
fu jin de shu kuai 	附近的薯块	c=0 d=1.6826e-05 t=58
fu jin de shu kuai jia fa de shi ke fa jing kou da 	附近的薯块加法的史可法井口大	c=1 d=0.000169103 t=58
fu jin sa ke luo fu jiang sheng dan kuai le jie kou li 	附近萨克洛夫奖圣诞快乐接口里	c=1 d=2.53435e-58 t=58
fu kan 	俯瞰	c=1 d=0.2334 t=58
fu kuan 	付款	c=1 d=0.00195963 t=58
fu le 	服了	c=3 d=0.0946485 t=58
fu li 	福利	c=3 d=0.000816895 t=58
